record_id,title,year,stage,decision,criteria_codes,rationale,date
CAND-0001,A Catalog of Optically Selected Cores,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0002,A Discovery-Based Approach to Database Ontology Design,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0003,Book Review: Contested urban heritage: voices from the periphery,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0004,Cadastral Systems on the World Wide Web: A Multi-Purpose Vision,1999,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='review')",2026-07-05
CAND-0005,Calibration of the MACHO Photometry Database,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0006,Clinical Reactivation of Genital Herpes Simplex Virus Infection Decreases in Frequency over Time,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0007,Constraints on dairy cattle productivity at the smallholder level in the Philippines.,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0008,CURL and resource description and discovery,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0009,Data Replication in Distributed Database Systems,1999,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='overview')",2026-07-05
CAND-0010,Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0011,Enhanced mining reports service,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0012,Eros variable stars: A catalog of Cepheids in the Magellanic Clouds,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0013,Fax technology for collecting outcomes data in a computer database.,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0014,Findings of the Egyptian Health Care Provider Survey.,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0015,First Union Tackles CRM with CRMs,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0016,GIS: BETWEEN VISIONS AND APPLICATIONS,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0017,H I -rich dwarf galaxies in the Hydra I cluster - I. Photometric and H I data,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0018,Improving Adherence to Dementia Guidelines through Education and Opinion Leaders,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0019,Increasing the Expressiveness of Analytical Performance Models for Replicated Databases,1999,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='review')",2026-07-05
CAND-0020,Information and Modeling Issues in Designing Water and Sanitation Subsidy Schemes,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0021,"Information Seeking Behavior of Scientists in the Electronic Information Age: Astronomers, Chemists, Mathematicians, and Physicists",1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0022,International Lead Zinc Research Organization-sponsored field-data collection and analysis to determine relationships between service conditions and reliability of valve-regulated lead–acid batteries in stationary applications,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0023,ITER edge database investigations of the SOL width,1999,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0024,"Java, Web, and Distributed Objects",1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0025,NoSQL Tutorial: A comprehensive look at the NoSQL database,1999,automation,advance,search-string,"matches canonical string (term='nosql', indicator='tutorial')",2026-07-05
CAND-0026,Occupational Exposures to Body Fluids among Medical Students: A Seven-Year Longitudinal Study,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0027,Price responsiveness in the developing country nature tourism context: review and Costa Rican case study.,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
